,Symbol,Company Name,Stock Price,Change,Percentage Change,Volume(M),Average Volume Month(M),Market Cap,PE Ratio(TTM)
107,NVDA,NVIDIA Corporation,458.38,+3.53,+0.78%,15.082,50.481,1.132T,110.45
108,F,Ford Motor Company,12.53,-0.11,-0.83%,14.858,51.053,50.168B,11.94
109,RIOT,"Riot Platforms, Inc.",11.04,+0.76,+7.37%,11.705,22.232,2.045B,N/A
110,VALE,Vale S.A.,14.37,+0.67,+4.89%,11.797,19.906,61.92B,5.91
111,BAC,Bank of America Corporation,29.32,+0.44,+1.51%,11.327,42.146,232.948B,8.42
112,CCL,Carnival Corporation & plc,15.73,+0.70,+4.69%,11.14,35.084,20.538B,N/A
113,PCG,PG&E Corporation,17.26,+0.19,+1.14%,11.085,16.038,43.184B,18.97
114,NIO,NIO Inc.,10.27,+0.20,+2.01%,10.996,60.971,18.271B,N/A
115,NOK,Nokia Oyj,4.0275,+0.0175,+0.44%,10.79,16.332,22.34B,5.16
116,PBR,Petróleo Brasileiro S.A. - Petrobras,15.32,+0.51,+3.48%,10.209,20.661,99.951B,3.30
117,CVNA,Carvana Co.,55.42,+6.19,+12.57%,9.832,20.912,9.843B,N/A
118,AAL,American Airlines Group Inc.,13.27,-0.05,-0.34%,9.72,23.482,8.667B,3.39
119,RIVN,"Rivian Automotive, Inc.",23.81,+0.56,+2.41%,9.674,50.35,22.575B,N/A
120,BBD,Banco Bradesco S.A.,3.0701,+0.0401,+1.32%,9.326,20.735,32.623B,11.37
121,INTC,Intel Corporation,38.69,-0.02,-0.05%,9.221,39.651,162.034B,N/A
122,NEWR,"New Relic, Inc.",85.38,-0.08,-0.09%,9.04,1.324,6.003B,N/A
123,GOOGL,Alphabet Inc.,138.02,+1.31,+0.96%,8.296,29.303,1.745T,29.55
124,VZ,Verizon Communications Inc.,34.14,+0.28,+0.83%,7.673,24.588,143.526B,6.83
125,TSLA,"Tesla, Inc.",275.26,+3.96,+1.46%,52.843,124.597,873.672B,80.49
126,AMZN,"Amazon.com, Inc.",145.33,+0.48,+0.33%,25.03,53.373,1.499T,117.20
127,AAPL,Apple Inc.,175.54,+1.33,+0.76%,23.906,57.332,2.744T,29.45
128,AMD,"Advanced Micro Devices, Inc.",107.96,+0.25,+0.23%,21.021,62.536,174.444B,N/A
129,T,AT&T Inc.,15.06,+0.44,+3.04%,20.777,44.026,107.7B,N/A
130,TLRY,"Tilray Brands, Inc.",3.0350,+0.0950,+3.23%,19.176,29.861,2.487B,N/A
131,PLTR,Palantir Technologies Inc.,15.84,+0.24,+1.54%,17.487,65.364,34.085B,N/A
132,NVDA,NVIDIA Corporation,458.38,+3.53,+0.78%,15.082,50.481,1.132T,110.45
133,F,Ford Motor Company,12.53,-0.11,-0.83%,14.858,51.053,50.168B,11.94
134,RIOT,"Riot Platforms, Inc.",11.04,+0.76,+7.37%,11.705,22.232,2.045B,N/A
135,VALE,Vale S.A.,14.37,+0.67,+4.89%,11.797,19.906,61.92B,5.91
136,BAC,Bank of America Corporation,29.32,+0.44,+1.51%,11.327,42.146,232.948B,8.42
137,CCL,Carnival Corporation & plc,15.73,+0.70,+4.69%,11.14,35.084,20.538B,N/A
138,PCG,PG&E Corporation,17.26,+0.19,+1.14%,11.085,16.038,43.184B,18.97
139,NIO,NIO Inc.,10.27,+0.20,+2.01%,10.996,60.971,18.271B,N/A
140,NOK,Nokia Oyj,4.0275,+0.0175,+0.44%,10.79,16.332,22.34B,5.16
141,PBR,Petróleo Brasileiro S.A. - Petrobras,15.32,+0.51,+3.48%,10.209,20.661,99.951B,3.30
142,CVNA,Carvana Co.,55.42,+6.19,+12.57%,9.832,20.912,9.843B,N/A
143,AAL,American Airlines Group Inc.,13.27,-0.05,-0.34%,9.72,23.482,8.667B,3.39
144,RIVN,"Rivian Automotive, Inc.",23.81,+0.56,+2.41%,9.674,50.35,22.575B,N/A
145,BBD,Banco Bradesco S.A.,3.0701,+0.0401,+1.32%,9.326,20.735,32.623B,11.37
146,INTC,Intel Corporation,38.69,-0.02,-0.05%,9.221,39.651,162.034B,N/A
147,NEWR,"New Relic, Inc.",85.38,-0.08,-0.09%,9.04,1.324,6.003B,N/A
148,GOOGL,Alphabet Inc.,138.02,+1.31,+0.96%,8.296,29.303,1.745T,29.55
149,VZ,Verizon Communications Inc.,34.14,+0.28,+0.83%,7.673,24.588,143.526B,6.83
150,TSLA,"Tesla, Inc.",275.26,+3.96,+1.46%,52.843,124.597,873.672B,80.49
151,AMZN,"Amazon.com, Inc.",145.33,+0.48,+0.33%,25.03,53.373,1.499T,117.20
152,AAPL,Apple Inc.,175.54,+1.33,+0.76%,23.906,57.332,2.744T,29.45
153,AMD,"Advanced Micro Devices, Inc.",107.96,+0.25,+0.23%,21.021,62.536,174.444B,N/A
154,T,AT&T Inc.,15.06,+0.44,+3.04%,20.777,44.026,107.7B,N/A
155,TLRY,"Tilray Brands, Inc.",3.0350,+0.0950,+3.23%,19.176,29.861,2.487B,N/A
156,PLTR,Palantir Technologies Inc.,15.84,+0.24,+1.54%,17.487,65.364,34.085B,N/A
157,NVDA,NVIDIA Corporation,458.38,+3.53,+0.78%,15.082,50.481,1.132T,110.45
158,F,Ford Motor Company,12.53,-0.11,-0.83%,14.858,51.053,50.168B,11.94
159,RIOT,"Riot Platforms, Inc.",11.04,+0.76,+7.37%,11.705,22.232,2.045B,N/A
160,VALE,Vale S.A.,14.37,+0.67,+4.89%,11.797,19.906,61.92B,5.91
161,BAC,Bank of America Corporation,29.32,+0.44,+1.51%,11.327,42.146,232.948B,8.42
162,CCL,Carnival Corporation & plc,15.73,+0.70,+4.69%,11.14,35.084,20.538B,N/A
163,PCG,PG&E Corporation,17.26,+0.19,+1.14%,11.085,16.038,43.184B,18.97
164,NIO,NIO Inc.,10.27,+0.20,+2.01%,10.996,60.971,18.271B,N/A
165,NOK,Nokia Oyj,4.0275,+0.0175,+0.44%,10.79,16.332,22.34B,5.16
166,PBR,Petróleo Brasileiro S.A. - Petrobras,15.32,+0.51,+3.48%,10.209,20.661,99.951B,3.30
167,CVNA,Carvana Co.,55.42,+6.19,+12.57%,9.832,20.912,9.843B,N/A
168,AAL,American Airlines Group Inc.,13.27,-0.05,-0.34%,9.72,23.482,8.667B,3.39
169,RIVN,"Rivian Automotive, Inc.",23.81,+0.56,+2.41%,9.674,50.35,22.575B,N/A
170,BBD,Banco Bradesco S.A.,3.0701,+0.0401,+1.32%,9.326,20.735,32.623B,11.37
171,INTC,Intel Corporation,38.69,-0.02,-0.05%,9.221,39.651,162.034B,N/A
172,NEWR,"New Relic, Inc.",85.38,-0.08,-0.09%,9.04,1.324,6.003B,N/A
173,GOOGL,Alphabet Inc.,138.02,+1.31,+0.96%,8.296,29.303,1.745T,29.55
174,VZ,Verizon Communications Inc.,34.14,+0.28,+0.83%,7.673,24.588,143.526B,6.83
175,TSLA,"Tesla, Inc.",275.26,+3.96,+1.46%,52.843,124.597,873.672B,80.49
176,AMZN,"Amazon.com, Inc.",145.33,+0.48,+0.33%,25.03,53.373,1.499T,117.20
177,AAPL,Apple Inc.,175.54,+1.33,+0.76%,23.906,57.332,2.744T,29.45
178,AMD,"Advanced Micro Devices, Inc.",107.96,+0.25,+0.23%,21.021,62.536,174.444B,N/A
179,T,AT&T Inc.,15.06,+0.44,+3.04%,20.777,44.026,107.7B,N/A
180,TLRY,"Tilray Brands, Inc.",3.0350,+0.0950,+3.23%,19.176,29.861,2.487B,N/A
181,PLTR,Palantir Technologies Inc.,15.84,+0.24,+1.54%,17.487,65.364,34.085B,N/A
182,NVDA,NVIDIA Corporation,458.38,+3.53,+0.78%,15.082,50.481,1.132T,110.45
183,F,Ford Motor Company,12.53,-0.11,-0.83%,14.858,51.053,50.168B,11.94
184,RIOT,"Riot Platforms, Inc.",11.04,+0.76,+7.37%,11.705,22.232,2.045B,N/A
185,VALE,Vale S.A.,14.37,+0.67,+4.89%,11.797,19.906,61.92B,5.91
186,BAC,Bank of America Corporation,29.32,+0.44,+1.51%,11.327,42.146,232.948B,8.42
187,CCL,Carnival Corporation & plc,15.73,+0.70,+4.69%,11.14,35.084,20.538B,N/A
188,PCG,PG&E Corporation,17.26,+0.19,+1.14%,11.085,16.038,43.184B,18.97
189,NIO,NIO Inc.,10.27,+0.20,+2.01%,10.996,60.971,18.271B,N/A
190,NOK,Nokia Oyj,4.0275,+0.0175,+0.44%,10.79,16.332,22.34B,5.16
191,PBR,Petróleo Brasileiro S.A. - Petrobras,15.32,+0.51,+3.48%,10.209,20.661,99.951B,3.30
192,CVNA,Carvana Co.,55.42,+6.19,+12.57%,9.832,20.912,9.843B,N/A
193,AAL,American Airlines Group Inc.,13.27,-0.05,-0.34%,9.72,23.482,8.667B,3.39
194,RIVN,"Rivian Automotive, Inc.",23.81,+0.56,+2.41%,9.674,50.35,22.575B,N/A
195,BBD,Banco Bradesco S.A.,3.0701,+0.0401,+1.32%,9.326,20.735,32.623B,11.37
196,INTC,Intel Corporation,38.69,-0.02,-0.05%,9.221,39.651,162.034B,N/A
197,NEWR,"New Relic, Inc.",85.38,-0.08,-0.09%,9.04,1.324,6.003B,N/A
198,GOOGL,Alphabet Inc.,138.02,+1.31,+0.96%,8.296,29.303,1.745T,29.55
199,VZ,Verizon Communications Inc.,34.14,+0.28,+0.83%,7.673,24.588,143.526B,6.83
200,TSLA,"Tesla, Inc.",275.26,+3.96,+1.46%,52.843,124.597,873.672B,80.49
201,AMZN,"Amazon.com, Inc.",145.33,+0.48,+0.33%,25.03,53.373,1.499T,117.20
202,AAPL,Apple Inc.,175.54,+1.33,+0.76%,23.906,57.332,2.744T,29.45
203,AMD,"Advanced Micro Devices, Inc.",107.96,+0.25,+0.23%,21.021,62.536,174.444B,N/A
204,T,AT&T Inc.,15.06,+0.44,+3.04%,20.777,44.026,107.7B,N/A
205,TLRY,"Tilray Brands, Inc.",3.0350,+0.0950,+3.23%,19.176,29.861,2.487B,N/A
206,PLTR,Palantir Technologies Inc.,15.84,+0.24,+1.54%,17.487,65.364,34.085B,N/A
207,NVDA,NVIDIA Corporation,458.38,+3.53,+0.78%,15.082,50.481,1.132T,110.45
208,F,Ford Motor Company,12.53,-0.11,-0.83%,14.858,51.053,50.168B,11.94
209,RIOT,"Riot Platforms, Inc.",11.04,+0.76,+7.37%,11.705,22.232,2.045B,N/A
210,VALE,Vale S.A.,14.37,+0.67,+4.89%,11.797,19.906,61.92B,5.91
211,BAC,Bank of America Corporation,29.32,+0.44,+1.51%,11.327,42.146,232.948B,8.42
212,CCL,Carnival Corporation & plc,15.73,+0.70,+4.69%,11.14,35.084,20.538B,N/A
213,PCG,PG&E Corporation,17.26,+0.19,+1.14%,11.085,16.038,43.184B,18.97
214,NIO,NIO Inc.,10.27,+0.20,+2.01%,10.996,60.971,18.271B,N/A
215,NOK,Nokia Oyj,4.0275,+0.0175,+0.44%,10.79,16.332,22.34B,5.16
216,PBR,Petróleo Brasileiro S.A. - Petrobras,15.32,+0.51,+3.48%,10.209,20.661,99.951B,3.30
217,CVNA,Carvana Co.,55.42,+6.19,+12.57%,9.832,20.912,9.843B,N/A
218,AAL,American Airlines Group Inc.,13.27,-0.05,-0.34%,9.72,23.482,8.667B,3.39
219,RIVN,"Rivian Automotive, Inc.",23.81,+0.56,+2.41%,9.674,50.35,22.575B,N/A
220,BBD,Banco Bradesco S.A.,3.0701,+0.0401,+1.32%,9.326,20.735,32.623B,11.37
221,INTC,Intel Corporation,38.69,-0.02,-0.05%,9.221,39.651,162.034B,N/A
222,NEWR,"New Relic, Inc.",85.38,-0.08,-0.09%,9.04,1.324,6.003B,N/A
223,GOOGL,Alphabet Inc.,138.02,+1.31,+0.96%,8.296,29.303,1.745T,29.55
224,VZ,Verizon Communications Inc.,34.14,+0.28,+0.83%,7.673,24.588,143.526B,6.83
